Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	
HA	MG978451	Yes	4	1752	H1N1	11/10/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/26/2017	
HA	CY263255	Yes	4	1752	H1N1	11/10/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/26/2017	
HA	MH601194	Yes	4	1752	H1N1	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/27/2018	
HA	MG978459	Yes	4	1752	H1N1	11/14/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/28/2017	
HA	CY263247	Yes	4	1752	H1N1	11/14/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/28/2017	
HA	MH601202	Yes	4	1752	H1N1	02/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/29/2018	
HA	MH669907	Yes	4	1752	H1N1	12/10/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/32/2017	
HA	MH601218	Yes	4	1752	H1N1	02/19/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/32/2018	
HA	MH083317	Yes	4	1752	H1N1	12/15/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/34/2017	
HA	CY025381	Yes	4	1741	H1N1	02/28/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0455/2007	
HA	CY027411	Yes	4	1725	H1N1	03/06/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0536/2007	
HA	CY100844	No	4	1730	H1N1	04/01/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/WRAIR1235P/2009	
HA	GQ476139	No	4	1698	H1N1	01/29/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/01/2009	
HA	MH125667	Yes	4	1752	H1N1	01/02/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/01/2018	
HA	EU716540	No	4	1727	H1N1	01/16/2008	IRD:Human	USA	Alaska	07-08	A/Alaska/02/2008	
HA	GQ476017	No	4	1698	H1N1	03/10/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/02/2009	
HA	EU716555	No	4	1727	H1N1	01/18/2008	IRD:Human	USA	Alaska	07-08	A/Alaska/03/2008	
HA	GQ476055	No	4	1698	H1N1	03/20/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/03/2009(H1N1)	
HA	MH125584	No	4	1752	H1N1	01/21/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/03/2018	
HA	FJ687001	No	4	1698	H1N1	12/10/2008	IRD:Human	USA	Alaska	08-09	A/Alaska/05/2008	
HA	MH183469	Yes	4	1752	H1N1	02/02/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/05/2018	
HA	MH183477	Yes	4	1752	H1N1	02/08/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/07/2018	
HA	MH245909	Yes	4	1752	H1N1	02/17/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/10/2018	
HA	MH601226	Yes	4	1752	H1N1	12/17/2017	IRD:Human	USA	Alaska	17-18	A/Alaska/100/2017	
HA	EU516254	No	4	1698	H1N1	12/03/2007	IRD:Human	USA	Alaska	07-08	A/Alaska/11/2007	
HA	MH245917	Yes	4	1752	H1N1	02/20/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/12/2018	
HA	EU516256	No	4	1698	H1N1	12/04/2007	IRD:Human	USA	Alaska	07-08	A/Alaska/13/2007	
HA	MH305636	Yes	4	1752	H1N1	03/02/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/14/2018	
HA	MH305644	Yes	4	1752	H1N1	03/04/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/15/2018	
HA	MH359768	No	4	1752	H1N1	03/09/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/17/2018	
HA	MH359822	Yes	4	1752	H1N1	03/12/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/19/2018	
HA	CY239633	Yes	4	1752	H1N1	06/07/2017	IRD:Human	USA	Alaska	-N/A-	A/Alaska/20/2017	
HA	MH601242	Yes	4	1752	H1N1	01/25/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/24/2018	
HA	MH601250	Yes	4	1752	H1N1	02/15/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/25/2018	
HA	MH601266	Yes	4	1752	H1N1	03/06/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/29/2018	
HA	MH601274	Yes	4	1752	H1N1	03/09/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/31/2018	
HA	MH600119	Yes	4	1752	H1N1	04/01/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/33/2018	
HA	MH600127	Yes	4	1752	H1N1	04/10/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/35/2018	
HA	MH600135	Yes	4	1752	H1N1	04/14/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/36/2018	
HA	MH600144	Yes	4	1752	H1N1	04/14/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/39/2018	
HA	MH669915	Yes	4	1752	H1N1	05/05/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/41/2018	
HA	MH669923	Yes	4	1752	H1N1	05/05/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/42/2018	
HA	MH726692	Yes	4	1752	H1N1	05/10/2018	IRD:Human	USA	Alaska	17-18	A/Alaska/45/2018	
HA	CY244790	Yes	4	1752	H1N1	08/21/2017	IRD:Human	USA	Alaska	-N/A-	A/Alaska/53/2017	
HA	CY250444	Yes	4	1752	H1N1	09/02/2017	IRD:Human	USA	Alaska	-N/A-	A/Alaska/58/2017	
HA	CY250436	Yes	4	1752	H1N1	09/02/2017	IRD:Human	USA	Alaska	-N/A-	A/Alaska/58/2017	
HA	CY245478	Yes	4	1752	H1N1	09/02/2017	IRD:Human	USA	Alaska	-N/A-	A/Alaska/58/2017	
HA	CY245486	Yes	4	1752	H1N1	09/02/2017	IRD:Human	USA	Alaska	-N/A-	A/Alaska/59/2017	
HA	CY257469	Yes	4	1752	H1N1	09/02/2017	IRD:Human	USA	Alaska	-N/A-	A/Alaska/59/2017	
HA	CY261922	Yes	4	1752	H1N1	11/02/2017	IRD:Human	USA	Alaska	17-18	A/Alaska/67/2017	
HA	CY262065	Yes	4	1754	H1N1	11/15/2017	IRD:Human	USA	Alaska	17-18	A/Alaska/70/2017	
HA	CY265483	Yes	4	1752	H1N1	12/05/2017	IRD:Human	USA	Alaska	17-18	A/Alaska/76/2017	
HA	CY265475	Yes	4	1752	H1N1	12/06/2017	IRD:Human	USA	Alaska	17-18	A/Alaska/77/2017	
HA	CY265491	Yes	4	1752	H1N1	12/15/2017	IRD:Human	USA	Alaska	17-18	A/Alaska/79/2017	
HA	MF046523	Yes	4	1701	H1N1	08/28/2016	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Alberta/238/2016	
HA	CY138640	Yes	4	1746	H1N1	08/08/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/New Brunswick/00321/2010	
HA	CY138664	Yes	4	1746	H1N1	08/08/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/New Brunswick/00326/2010	
HA	CY138672	Yes	4	1746	H1N1	08/08/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/New Brunswick/00328/2010	
HA	CY138817	Yes	4	1746	H1N1	08/09/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/New Brunswick/00385/2010	
HA	CY138842	Yes	4	1746	H1N1	08/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/New Brunswick/00410/2010	
HA	CY129374	Yes	4	1745	H1N1	08/06/2007	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/New Brunswick/01989/2007	
HA	CY138528	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00083/2010	
HA	CY138552	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00086/2010	
HA	CY138568	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00089/2010	
HA	CY138576	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00090/2010	
HA	CY138584	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00091/2010	
HA	CY138592	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00092/2010	
HA	CY138608	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00094/2010	
HA	CY138616	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00096/2010	
HA	CY138624	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00098/2010	
HA	CY138632	Yes	4	1746	H1N1	09/10/2010	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Nova Scotia/00099/2010	
HA	CY166565	Yes	4	1749	H1N1	10/02/2011	IRD:American Black Duck/Avian	USA	Wisconsin	11-12	A/American black duck/Wisconsin/11OS3016/2011	
HA	KX714426	Yes	4	1746	H1N1	09/17/2009	IRD:American Green-Winged Teal/Avian	USA	Alaska	08-09	A/American green-winged teal/Alaska/137884/2009	
HA	KX714458	Yes	4	1746	H1N1	09/18/2009	IRD:American Green-Winged Teal/Avian	USA	Alaska	08-09	A/American green-winged teal/Alaska/137930/2009	
HA	KX714466	Yes	4	1746	H1N1	09/18/2009	IRD:American Green-Winged Teal/Avian	USA	Alaska	08-09	A/American green-winged teal/Alaska/137946/2009	
HA	KX714474	Yes	4	1746	H1N1	09/25/2009	IRD:American Green-Winged Teal/Avian	USA	Alaska	08-09	A/American green-winged teal/Alaska/137962/2009	
HA	KT338357	Yes	4	1746	H1N1	09/11/2014	IRD:American Green-Winged Teal/Avian	USA	Alaska	-N/A-	A/American green-winged teal/Alaska/386/2014	
HA	CY133685	Yes	4	1746	H1N1	01/15/2011	IRD:American Green-Winged Teal/Avian	USA	Mississippi	10-11	A/American green-winged teal/Mississippi/11OS256/2011	
HA	KY583859	Yes	4	1701	H1N1	09/05/2015	IRD:Mallard/Avian	USA	Ohio	-N/A-	A/American green-winged teal/Ohio/15OS3630/2015	
HA	KY284471	Yes	4	1743	H1N1	09/21/2015	IRD:Eurasian Teal/Avian	USA	Ohio	-N/A-	A/American green-winged teal/Ohio/15OS5188/2015	
HA	CY133085	Yes	4	1746	H1N1	10/02/2010	IRD:American Green-Winged Teal/Avian	USA	Wisconsin	10-11	A/American green-winged teal/Wisconsin/10OS2847/2010	
HA	CY166533	Yes	4	1749	H1N1	10/15/2011	IRD:American Green-Winged Teal/Avian	USA	Wisconsin	11-12	A/American green-winged teal/Wisconsin/11OS3376/2011	
HA	CY187152	Yes	4	1746	H1N1	09/27/2012	IRD:American Green-Winged Teal/Avian	USA	Wisconsin	-N/A-	A/American green-winged teal/Wisconsin/12OS2994/2012	
HA	CY097502	Yes	4	1746	H1N1	10/17/2009	IRD:Green-Winged Teal/Avian	USA	Wisconsin	09-10	A/American green-winged teal/Wisconsin/2743/2009(H1N1)	
HA	FN386464	No	4	1701	H1N1	2007	IRD:Eurasian Teal/Avian	Spain	-N/A-	-N/A-	A/Anas crecca/Spain/1384/2007	
HA	FN386465	No	4	1701	H1N1	2007	IRD:Eurasian Teal/Avian	Spain	-N/A-	-N/A-	A/Anas crecca/Spain/1404/2007	
HA	FN386463	No	4	1701	H1N1	2007	IRD:Mallard/Avian	Spain	-N/A-	-N/A-	A/Anas plathyrhynchos/Spain/1365/2007	
HA	KU881712	Yes	4	1701	H1N1	12/25/2014	IRD:Waterfowl/Avian	China	-N/A-	-N/A-	A/Anseriformes/Anhui/L167/2014	
HA	KU881704	Yes	4	1701	H1N1	12/22/2014	IRD:Waterfowl/Avian	China	-N/A-	-N/A-	A/Anseriformes/Anhui/L25/2014	
HA	KU881720	Yes	4	1701	H1N1	12/22/2014	IRD:Waterfowl/Avian	China	-N/A-	-N/A-	A/Anseriformes/Anhui/L259/2014	
HA	KU881688	Yes	4	1701	H1N1	12/22/2014	IRD:Waterfowl/Avian	China	-N/A-	-N/A-	A/Anseriformes/Anhui/S107/2014	
HA	KU881672	Yes	4	1701	H1N1	12/24/2014	IRD:Waterfowl/Avian	China	-N/A-	-N/A-	A/Anseriformes/Anhui/S3/2014	
HA	EU516243	No	4	1698	H1N1	12/06/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/03/2007	
HA	MH125674	Yes	4	1752	H1N1	01/20/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/03/2018	
HA	EU566991	No	4	1698	H1N1	11/14/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/04/2007	
HA	MH125681	Yes	4	1752	H1N1	01/22/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/04/2018	
HA	EU516246	No	4	1698	H1N1	12/02/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/07/2007	
HA	MH183489	Yes	4	1752	H1N1	01/22/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/07/2018	
HA	MH183493	Yes	4	1752	H1N1	02/04/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/08/2018	
HA	MH305652	Yes	4	1752	H1N1	01/02/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/09/2018	
HA	GQ476020	No	4	1698	H1N1	03/13/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/10/2009(H1N1)	
HA	GQ475987	No	4	1698	H1N1	03/13/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/10/2009(H1N1)	
HA	MH305660	Yes	4	1752	H1N1	01/08/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/10/2018	
HA	MH305668	Yes	4	1752	H1N1	01/11/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/11/2018	
HA	FJ179358	No	4	1698	H1N1	12/12/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/13/2007	
HA	FJ686949	No	4	1698	H1N1	11/16/2008	IRD:Human	USA	Arizona	08-09	A/Arizona/13/2008	
HA	FJ686985	No	4	1698	H1N1	11/16/2008	IRD:Human	USA	Arizona	08-09	A/Arizona/13/2008	
HA	FJ179359	No	4	1698	H1N1	12/12/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/14/2007	
HA	MH305676	Yes	4	1752	H1N1	02/11/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/14/2018	
HA	EU566966	No	4	1698	H1N1	12/22/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/15/2007	
HA	MH359831	Yes	4	1752	H1N1	03/03/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/18/2018	
HA	MH359838	Yes	4	1752	H1N1	03/06/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/19/2018	
HA	MH359846	Yes	4	1752	H1N1	03/13/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/22/2018	
HA	MH446500	Yes	4	1752	H1N1	02/13/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/26/2018	
HA	MH446508	Yes	4	1752	H1N1	03/20/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/27/2018	
HA	MH669931	Yes	4	1752	H1N1	04/12/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/29/2018	
HA	KX004651	Yes	4	1751	H1N1	12/31/2015	IRD:Human	USA	Arizona	15-16	A/Arizona/31/2015	
HA	MH669939	Yes	4	1752	H1N1	05/25/2018	IRD:Human	USA	Arizona	17-18	A/Arizona/35/2018	
HA	CY239593	Yes	4	1752	H1N1	06/15/2017	IRD:Human	USA	Arizona	-N/A-	A/Arizona/41/2017	
HA	CY243766	Yes	4	1752	H1N1	06/15/2017	IRD:Human	USA	Arizona	-N/A-	A/Arizona/41/2017	
HA	CY261842	Yes	4	1752	H1N1	10/28/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/60/2017	
HA	CY261834	Yes	4	1752	H1N1	10/29/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/61/2017	
HA	CY261993	Yes	4	1752	H1N1	11/06/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/64/2017	
HA	MG978467	Yes	4	1752	H1N1	11/06/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/64/2017	
HA	CY262001	Yes	4	1752	H1N1	11/07/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/65/2017	
HA	CY263350	Yes	4	1752	H1N1	11/20/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/67/2017	
HA	MH083336	Yes	4	1752	H1N1	11/20/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/67/2017	
HA	MH083344	Yes	4	1752	H1N1	11/21/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/69/2017	
HA	CY263358	Yes	4	1752	H1N1	11/21/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/69/2017	
HA	MH083349	Yes	4	1752	H1N1	12/19/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/74/2017	
HA	MH083357	Yes	4	1752	H1N1	12/19/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/75/2017	
HA	MH700996	Yes	4	1752	H1N1	12/19/2017	IRD:Human	USA	Arizona	17-18	A/Arizona/MAP6094A/2017	
HA	EU199356	No	4	1698	H1N1	07/19/2007	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/01/2007	
HA	EU199351	No	4	1698	H1N1	07/19/2007	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/01/2007	
HA	GQ476046	No	4	1698	H1N1	02/08/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/01/2009(H1N1)	
HA	GQ476081	No	4	1698	H1N1	03/01/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/02/2009(H1N1)	
HA	MH125690	Yes	4	1752	H1N1	01/22/2018	IRD:Human	USA	Arkansas	17-18	A/Arkansas/03/2018	
HA	MH125697	Yes	4	1752	H1N1	01/29/2018	IRD:Human	USA	Arkansas	17-18	A/Arkansas/05/2018	
HA	MH245925	Yes	4	1752	H1N1	02/12/2018	IRD:Human	USA	Arkansas	17-18	A/Arkansas/07/2018	
HA	MH083368	Yes	4	1752	H1N1	12/03/2017	IRD:Human	USA	Arkansas	17-18	A/Arkansas/42/2017	
HA	CY263239	Yes	4	1752	H1N1	12/03/2017	IRD:Human	USA	Arkansas	17-18	A/Arkansas/42/2017	
HA	MH083373	Yes	4	1752	H1N1	12/21/2017	IRD:Human	USA	Arkansas	17-18	A/Arkansas/46/2017	
HA	CY069541	Yes	4	1729	H1N1	03/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/WRAIR1249P/2009(H1N1)	
HA	CY022149	Yes	4	1743	H1N1	08/30/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/579/2000	
HA	CY022157	Yes	4	1743	H1N1	09/06/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/580/2000	
HA	CY022165	Yes	4	1743	H1N1	09/05/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/581/2000	
HA	CY022173	Yes	4	1743	H1N1	11/09/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/582/2000	
HA	CY025026	Yes	4	1725	H1N1	09/13/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/584/2000	
HA	CY026155	Yes	4	1741	H1N1	09/15/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/585/2000	
HA	CY022485	Yes	4	1743	H1N1	09/20/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/586/2000	
HA	CY022493	Yes	4	1743	H1N1	09/19/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/587/2000	
HA	CY022509	Yes	4	1743	H1N1	09/26/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/590/2000	
HA	CY023010	Yes	4	1733	H1N1	10/02/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/591/2000	
HA	CY023018	Yes	4	1743	H1N1	11/03/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/595/2000	
HA	CY025034	Yes	4	1727	H1N1	10/30/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/597/2000	
HA	CY022533	Yes	4	1743	H1N1	07/05/2001	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/605/2001	
HA	CY022541	Yes	4	1744	H1N1	07/23/2001	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/606/2001	
HA	CY022581	Yes	4	1743	H1N1	07/01/2005	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/619/2005	
HA	HM144111	No	4	1706	H1N1	12/31/2005	IRD:Human	Iran	-N/A-	-N/A-	A/Azarbayejan-Sharghi/147/2005(H1N1)	
HA	HM144112	No	4	1706	H1N1	01/17/2006	IRD:Human	Iran	-N/A-	-N/A-	A/Azarbayejan-Sharghi/179/2006(H1N1)	
HA	HM144113	No	4	1706	H1N1	01/18/2006	IRD:Human	Iran	-N/A-	-N/A-	A/Azarbayejan-Sharghi/181/2006(H1N1)	
HA	HM144114	No	4	1706	H1N1	01/10/2006	IRD:Human	Iran	-N/A-	-N/A-	A/Azarbayejan_Sharghi/150/2006(H1N1)	
HA	HM144115	No	4	1706	H1N1	01/08/2006	IRD:Human	Iran	-N/A-	-N/A-	A/Azarbayejan_Sharghi/153/2006(H1N1)	
HA	HM144116	No	4	1706	H1N1	01/10/2006	IRD:Human	Iran	-N/A-	-N/A-	A/Azarbayejan_Sharghi/155/2006(H1N1)	
HA	FJ231776	No	4	1698	H1N1	2006	IRD:Human	Germany	-N/A-	-N/A-	A/Baden-Wuerttemberg/3/2006	
HA	FJ231777	No	4	1698	H1N1	2006	IRD:Human	Germany	-N/A-	-N/A-	A/Baden-Wuerttemberg/4/2006	
HA	FJ231778	No	4	1698	H1N1	2006	IRD:Human	Germany	-N/A-	-N/A-	A/Baden-Wuerttemberg/5/2006	
HA	MH637435	No	4	1777	H1N1	01/03/2018	IRD:Human	USA	Maryland	17-18	A/Baltimore/P0235/2018	
HA	MH637702	No	4	1777	H1N1	01/17/2018	IRD:Human	USA	Maryland	17-18	A/Baltimore/P0252/2018	
HA	CY125108	Yes	4	1750	H1N1	2000	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/163/2000	
HA	JX477157	Yes	4	1698	H1N1	2000	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/163/2000(H1N1)	
HA	KX979589	Yes	4	1777	H1N1	01/09/2006	IRD:Goose/Avian	Netherlands	-N/A-	05-06	A/barnacle goose/Netherlands/1/2006	
HA	KX978559	Yes	4	1777	H1N1	01/15/2007	IRD:Goose/Avian	Netherlands	-N/A-	06-07	A/bean goose/Netherlands/1/2007	
HA	FJ231781	No	4	1698	H1N1	2006	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/13/2006	
HA	FJ231779	No	4	1698	H1N1	2006	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/6/2006	
HA	FJ231762	No	4	1698	H1N1	2005	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/60/2005	
HA	FJ231780	No	4	1698	H1N1	2006	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/9/2006	
HA	GU784795	No	4	1698	H1N1	02/2009	IRD:Human	USA	Maryland	08-09	A/Bethesda/NIH50/2009	
HA	MF575199	Yes	4	1777	H1N1	11/17/2006	IRD:Bewick's Swan/Avian	Netherlands	-N/A-	06-07	A/Bewick Swan/Netherlands/2/2006	
HA	KX978266	Yes	4	1777	H1N1	11/17/2006	IRD:Bewick's Swan/Avian	Netherlands	-N/A-	06-07	A/bewicks swan/Netherlands/3/2006	
HA	KX978574	Yes	4	1773	H1N1	11/22/2006	IRD:Bewick's Swan/Avian	Netherlands	-N/A-	06-07	A/bewicks swan/Netherlands/6/2006	
HA	MG279856	Yes	4	1767	H1N1	12/10/2016	IRD:American Black Duck/Avian	USA	Unknown	16-17	A/black duck/Deleware/16OS4338/2016	
HA	CY075897	No	4	1744	H1N1	08/05/2009	IRD:Human	India	-N/A-	-N/A-	A/Blore/NIV1196/2009	
HA	FJ357053	Yes	4	1752	H1N1	2002	IRD:Blue-Winged Teal/Avian	USA	Texas	-N/A-	A/blue winged teal/TX/27/2002(H1N1)	
HA	FJ357061	Yes	4	1752	H1N1	2002	IRD:Blue-Winged Teal/Avian	USA	Texas	-N/A-	A/blue winged teal/TX/43/2002(H1N1)	
HA	CY186648	Yes	4	1746	H1N1	10/20/2012	IRD:Blue-Winged Teal/Avian	USA	Illinois	12-13	A/blue-winged teal/Illinois/12OS4788/2012	
HA	KY063952	Yes	4	1746	H1N1	04/12/2014	IRD:Blue-Winged Teal/Avian	USA	Unknown	13-14	A/blue-winged teal/Lousiana/UGAI14-0690/2014	
HA	KY561169	Yes	4	1746	H1N1	10/31/2015	IRD:Blue-Winged Teal/Avian	USA	Missouri	15-16	A/blue-winged teal/Missouri/15OS6536/2015	
